,x,y,z
0,-0.04844286,0.010512085,0.0044509573
1,-0.05378124,0.017118763,0.0017961685
2,0.049960088,0.015078564,0.022709677
3,-0.017178787,-0.0211626,0.010977192
4,-0.03668338,0.007507836,0.0012614042
5,-0.038506705,0.025740523,-0.0037012899
6,-0.034668006,0.005562372,0.02127072
7,0.02486107,-0.09306293,0.037381813
8,-0.04602218,0.010995522,-0.0018750001
9,-0.06138307,0.026321167,-0.0051448112
10,0.027761636,-0.06106372,0.06898082
11,-0.057012226,0.020171728,-0.0077814227
12,0.046271943,0.03342553,0.007876717
13,-0.04178542,0.02024648,0.005646645
14,0.051212613,0.03762883,0.011695163
15,0.07291389,0.018366447,0.047751237
16,0.012738828,0.048524987,0.007868301
17,-0.07170177,0.04662238,-0.043887895
18,-0.05887606,0.015865736,0.018401641
19,0.042996734,-0.039837588,0.07475738
20,0.034004595,0.0121426135,0.016796432
21,0.04393377,-0.05271025,0.02477406
22,0.06731944,0.02434779,0.07849133
23,0.009853467,0.00055942114,0.058737807
24,-0.048892476,0.026283925,0.010110659
25,-0.058276042,0.031337,0.017005475
26,-0.0912025,0.028313896,-0.023054719
27,-0.058161102,0.027045121,0.009267232
28,0.064703435,0.027483385,0.025186576
29,-0.0060262745,-0.04844381,0.073182
30,0.016137695,0.037976533,0.012720323
31,-0.056163475,0.027632007,-0.009497695
32,-0.010512811,-0.06924264,0.06476527
33,0.036023337,-0.05805317,0.07163513
34,0.03289155,-0.015084609,0.047804132
35,0.012309198,-0.060896616,0.074099265
36,0.009934051,-0.06113499,0.06770322
37,-0.046251338,0.021036895,-0.0054728477
38,0.048700668,0.035380304,-0.0010825507
39,-0.051568333,0.01199106,-0.012758721
40,-0.042179458,0.020918293,0.011643698
41,0.026216805,0.050939586,0.039711434
42,0.022842783,-0.064629406,0.066359036
43,0.026440132,-0.05180863,0.039032478
44,-0.038842853,0.010241081,0.021911623
45,0.041994106,-0.0029589406,-0.0076804
46,-0.039732754,0.010331022,0.01402289
47,0.06333625,-0.066926,0.0028132435
48,0.030888911,0.00053470756,0.06461086
49,-0.008868817,0.022724591,0.027615894
50,-0.079168014,0.053692427,-0.0031496745
51,-0.056743816,0.0132177565,0.0044663204
52,0.024182737,-0.038612723,0.07045084
53,0.03197096,0.0036819743,0.0048061823
54,-0.050862815,0.0049114833,-0.006762405
55,-0.04339893,0.023249533,0.009412363
56,-0.03646238,0.005236237,0.012665484
57,0.02482011,0.004010637,0.05480193
58,0.05120328,0.008690035,0.0334592
59,-0.048120636,0.013793815,0.017888041
60,0.01917773,-0.011864346,0.07765377
61,0.018054133,-0.036549617,0.05498972
62,-0.044465393,0.00803611,-0.01157616
63,0.043604653,-0.047628906,-0.0073238076
64,0.0667048,-0.025701366,0.065527335
65,0.04238522,0.101547115,0.03531693
66,-0.08855024,0.020813521,-0.03521258
67,-0.04156632,-0.0035373622,-0.00056829705
68,0.019087724,0.010516845,0.044594135
69,2.0651145e-05,-0.05900028,0.057960495
70,-0.08938782,0.055369265,0.0020677634
71,-0.017658819,-0.03299251,0.054354846
72,0.05908401,-0.061414957,0.058495533
73,-0.04923444,0.014975192,0.019235376
74,0.03712472,-0.006926954,-0.008375366
75,0.069966145,-0.10678188,0.03824672
76,-0.053962544,0.028129997,0.0013413153
77,-0.08170995,0.03733109,-0.036040958
78,-0.08155246,0.019064706,-0.025342764
79,0.03875584,-0.047199458,-0.0068900688
80,0.010007067,-0.023763007,0.07912849
81,-0.08783472,0.02466529,-0.023554135
82,0.020157557,0.019027768,0.082825564
83,-0.057226058,0.010713906,0.011772866
84,-0.10948142,0.05766942,-0.009139762
85,-0.025820246,0.06361089,-0.03265346
86,0.018521026,0.09506676,0.0068237307
87,-0.043791488,0.00949452,0.01333655
88,-0.05796926,0.021013852,-0.0039162175
89,0.046265516,-0.06414931,0.0565502
90,0.026736667,-0.05451236,0.0620592
91,-0.045134075,0.07038798,-0.03913773
92,-0.08007058,0.02032634,-0.025258968
93,0.0040480024,0.028874649,0.06758643
94,0.025921645,0.044563234,0.08392435
95,-0.09085904,0.038097065,-0.00022200539
96,-0.007544648,-0.050274435,0.06988368
97,-0.018563377,0.04202821,-0.031618364
98,-0.05213834,0.021855908,-0.005261034
99,-0.04433919,0.020639855,0.005059917
100,-0.012638159,0.050889306,0.057512864
101,0.027795132,-0.03297915,0.04670295
102,0.054457143,0.061933342,-0.0041441126
103,-0.036404714,0.008824941,0.0065216604
104,0.026644312,0.02397955,0.046970677
105,0.038462915,0.019562699,0.06822789
106,0.06867328,0.051059645,0.08188686
107,0.009477103,0.040571228,0.010578032
108,0.031971905,0.054750092,0.0051881345
109,0.013801258,-0.02804019,0.0766929
110,0.020656975,-0.06847764,0.058586895
111,-0.042379238,0.024549415,-0.006961006
112,0.003991297,0.012024342,0.094085254
113,0.023846135,0.014530611,0.034691963
114,-0.017004022,-0.025284817,0.016659942
115,0.0722401,-0.025260096,0.06400581
116,-0.07495281,0.02340437,-0.0045136395
117,0.049033962,-0.046770036,0.0078817895
118,0.060855206,-0.021968698,0.06663093
119,0.052577462,-0.052877974,0.0001661456
120,0.06539921,-0.068085134,-0.0020874562
