,x,y
0,0.92374206,0.9376588
1,0.925398,0.9375231
2,0.92666143,0.939877
3,0.9247083,0.9384242
4,0.9262448,0.93794346
5,0.92526275,0.9379113
6,0.9237628,0.9385119
7,0.9225633,0.9407394
8,0.9260603,0.93774676
9,0.92599416,0.9372579
10,0.92565054,0.940638
11,0.9245512,0.93715745
12,0.9268208,0.9389703
13,0.9250231,0.93774235
14,0.9267341,0.93921685
15,0.9261012,0.94056123
16,0.92440575,0.93982875
17,0.9238901,0.9371691
18,0.92448705,0.937612
19,0.9242574,0.9414844
20,0.9264117,0.93999803
21,0.925414,0.94012696
22,0.9248386,0.9417923
23,0.9237183,0.9400203
24,0.92506045,0.9379799
25,0.92402136,0.9379998
26,0.92309815,0.93643427
27,0.92426705,0.93776226
28,0.92638737,0.9393258
29,0.9221432,0.93986654
30,0.925544,0.93919176
31,0.9252298,0.9372778
32,0.92387086,0.93873465
33,0.92444927,0.9414948
34,0.92510134,0.9408408
35,0.92385685,0.9408083
36,0.9233469,0.9398014
37,0.9244796,0.9382394
38,0.926677,0.938721
39,0.92537946,0.9373163
40,0.92410004,0.93830675
41,0.924015,0.93908924
42,0.9236561,0.94076526
43,0.92606133,0.9407668
44,0.9237124,0.9385201
45,0.9274499,0.9403259
46,0.923092,0.93849427
47,0.92664194,0.94131386
48,0.9252769,0.94074255
49,0.9238136,0.9383823
50,0.9224769,0.93770546
51,0.92545265,0.9375353
52,0.92435026,0.94082034
53,0.9271937,0.9398971
54,0.9248078,0.937245
55,0.92478347,0.93753934
56,0.92514324,0.93787426
57,0.9236654,0.94057876
58,0.9262367,0.9396018
59,0.9250634,0.93746173
60,0.922902,0.94049156
61,0.9231301,0.94070184
62,0.92367685,0.937908
63,0.92556006,0.9412657
64,0.92926323,0.94145745
65,0.9246991,0.93963504
66,0.9229592,0.9360727
67,0.92509794,0.9378178
68,0.9250177,0.9405282
69,0.9243248,0.9394494
70,0.9228794,0.937132
71,0.92245364,0.9388877
72,0.92686886,0.9419009
73,0.924482,0.9374684
74,0.9267101,0.93946236
75,0.9284131,0.9424139
76,0.9257351,0.9378414
77,0.92418796,0.9367473
78,0.92529684,0.9368979
79,0.9255811,0.9408125
80,0.9216747,0.9400494
81,0.92400324,0.9365662
82,0.92201734,0.9405829
83,0.9251638,0.9376147
84,0.9238781,0.9368509
85,0.92449564,0.9380306
86,0.92522234,0.93870115
87,0.92438287,0.9380883
88,0.9235776,0.9373507
89,0.9260785,0.9417355
90,0.925018,0.94058263
91,0.92369765,0.93722105
92,0.9247719,0.93715096
93,0.92348284,0.9398886
94,0.9220585,0.9409064
95,0.92174613,0.9363731
96,0.9220802,0.93925387
97,0.92529297,0.9381326
98,0.92450917,0.93746257
99,0.9253379,0.93826616
100,0.92342204,0.9393743
101,0.92161083,0.9411134
102,0.92716604,0.9390291
103,0.9254143,0.9381713
104,0.9246708,0.9399799
105,0.924462,0.94124323
106,0.9257142,0.9420932
107,0.9243587,0.9390206
108,0.926002,0.9394109
109,0.92303425,0.9402538
110,0.9229965,0.940698
111,0.92631084,0.93791723
112,0.91925275,0.940275
113,0.9248902,0.93934363
114,0.92555135,0.9381526
115,0.92837614,0.94194597
116,0.9240052,0.9367918
117,0.928568,0.9413694
118,0.92602617,0.9417892
119,0.9269329,0.9403787
120,0.92625344,0.9407158
121,0.9258633,0.9406185
122,0.92581135,0.93820894
123,0.9241798,0.9409477
124,0.9236942,0.9394233
125,0.92243,0.93545663
126,0.9254199,0.9397377
127,0.92327076,0.9385081
128,0.9248409,0.9380946
129,0.9249247,0.94015086
130,0.9237469,0.9387917
131,0.9259271,0.94139266
132,0.92348325,0.9386266
133,0.9248636,0.9390149
134,0.92748576,0.941822
135,0.92476785,0.93681836
136,0.92479986,0.9391176
137,0.9244646,0.9380027
138,0.9256306,0.9412225
139,0.9266225,0.9425361
140,0.9247854,0.9400427
141,0.924489,0.94081295
142,0.9252381,0.93807465
143,0.92686033,0.93906045
144,0.9228031,0.937998
145,0.92310005,0.93834794
146,0.92493486,0.94107646
147,0.9257314,0.9392467
148,0.9228582,0.93913525
149,0.9243578,0.93762076
150,0.9246088,0.940314
151,0.9250983,0.94184804
152,0.9237974,0.93789005
153,0.9237148,0.937681
154,0.92735976,0.9422932
155,0.9234517,0.93764824
156,0.9239713,0.9378295
157,0.9260094,0.9412155
158,0.92434925,0.9399528
159,0.9269842,0.9408042
160,0.92582095,0.94138414
161,0.92584616,0.93757266
162,0.92553747,0.94053763
163,0.9262003,0.9392394
164,0.92761,0.94056696
165,0.9226109,0.9368577
166,0.92555535,0.9391395
167,0.9238389,0.9410114
168,0.92488337,0.93931204
169,0.924434,0.9371926
170,0.92803955,0.94231355
171,0.9244439,0.93993837
172,0.92492986,0.94026154
173,0.9250315,0.9406477
174,0.9259445,0.9403289
175,0.9200308,0.94010967
176,0.9256136,0.94033206
177,0.9240853,0.9364864
178,0.9264015,0.94245094
179,0.92690676,0.9405219
180,0.9277979,0.9387793
181,0.9224028,0.9392137
182,0.92513704,0.9408176
183,0.9254235,0.93822575
184,0.91914225,0.93937296
185,0.9271072,0.9400605
186,0.9261308,0.9410192
187,0.9272736,0.94203186
188,0.9231455,0.93762684
189,0.92235386,0.9365935
190,0.92486584,0.94023335
191,0.92488706,0.93771195
192,0.92506075,0.9392785
193,0.9210806,0.9403433
194,0.92418826,0.93820196
195,0.9268101,0.9420992
196,0.92472696,0.9385792
197,0.925976,0.9371277
198,0.9248584,0.93790823
199,0.9249601,0.9407887
200,0.92538476,0.9369992
201,0.92476124,0.9379621
202,0.92466354,0.93755937
203,0.923535,0.9419483
204,0.92483586,0.9408724
