,x,y
0,0.41460335,0.307417
1,0.43279678,0.28563526
2,0.23717934,0.5362503
3,0.34510747,0.41379276
4,0.39509282,0.33003104
5,0.39772207,0.30556145
6,0.3922818,0.34881887
7,0.30493024,0.62083536
8,0.4160576,0.3013954
9,0.4627539,0.26307783
10,0.25081336,0.5733746
11,0.44571474,0.2750196
12,0.24758206,0.50890636
13,0.41097364,0.31489184
14,0.2444183,0.52224606
15,0.2195584,0.62606347
16,0.27465546,0.40067226
17,0.4691569,0.20867509
18,0.4641075,0.28775865
19,0.24408773,0.60409206
20,0.25761786,0.49814564
21,0.25903094,0.6111155
22,0.21671782,0.60543054
23,0.2859404,0.4769566
24,0.4338886,0.29732665
25,0.45846012,0.276046
26,0.52317435,0.20102522
27,0.46447092,0.28100273
28,0.22007135,0.58752173
29,0.34119695,0.51583236
30,0.2917434,0.4291692
31,0.45152497,0.27072442
32,0.32651848,0.50935596
33,0.2522644,0.59391296
34,0.26963705,0.54498184
35,0.30322933,0.5585457
36,0.30528522,0.5534365
37,0.41227046,0.29401776
38,0.24562895,0.50869805
39,0.42526218,0.28404823
40,0.40710518,0.31740734
41,0.2962314,0.46781236
42,0.2866718,0.5811248
43,0.25635707,0.54619366
44,0.40896738,0.33744925
45,0.25620547,0.5104218
46,0.39650834,0.33167174
47,0.21906343,0.6588515
48,0.2590776,0.5256188
49,0.3183476,0.39858466
50,0.50304526,0.21393664
51,0.43770045,0.27996027
52,0.26816818,0.5545452
53,0.2492124,0.4853895
54,0.42096275,0.29801762
55,0.4070562,0.31076178
56,0.38388467,0.3382487
57,0.27111664,0.50583196
58,0.26154009,0.59425575
59,0.42901486,0.31570554
60,0.2585381,0.5308698
61,0.2734946,0.53536737
62,0.40414017,0.30118656
63,0.25098804,0.5829459
64,0.17325096,0.60891074
65,0.24895647,0.4385271
66,0.50406414,0.20829761
67,0.40115246,0.32570925
68,0.26574555,0.47441998
69,0.33087456,0.52347076
70,0.5225118,0.19687583
